"monarch_name","monarch_house","date_birth","date_death","start_reign","end_reign"
"Gorm the Old","House of Gorm",,"958",,"958"
"Harald I","House of Gorm","932","985","958","985"
"Sweyn I","House of Gorm","963","1014","987","1014"
"Harald II","House of Gorm",,"1018","1014","1018"
"Canute II","House of Gorm","985","1035","1019","1035"
"Hardecanute","House of Gorm","1020","1042","1028","1042"
"Magnus I Olafsson","House of Fairhair","1024","1047","1042","1047"
"Sweyn II Estridsen","House of Estridsen","1019","1076","1047","1074"
"Harald III","House of Estridsen","1040","1080","1074","1080"
"Canute IV","House of Estridsen","1042","1086","1080","1086"
"Olaf I","House of Estridsen","1050","1095","1086","1095"
"Erik I","House of Estridsen","1060","1103","1095","1103"
"Niels","House of Estridsen","1065","1134","1104","1134"
"Erik II","House of Estridsen","1090","1137","1134","1137"
"Erik III","House of Estridsen","1120","1146","1137","1146"
"Sweyn III","House of Estridsen","1125","1157","1146","1157"
"Valdemar I","House of Estridsen","1131","1182","1157","1182"
"Canute VI","House of Estridsen","1163","1202","1182","1202"
"Valdemar II","House of Estridsen","1170","1241","1202","1241"
"Erik IV","House of Estridsen","1216","1250","1241","1250"
"Abel","House of Estridsen","1218","1252","1250","1252"
"Christoper I","House of Estridsen","1219","1259","1252","1259"
"Erik V","House of Estridsen","1249","1286","1259","1286"
"Erik VI","House of Estridsen","1274","1319","1286","1319"
"Christoper II","House of Estridsen","1276","1332","1319","1332"
"Valdermar IV Atterdag","House of Estridsen","1320","1375","1340","1375"
"Olaf II","House of Bjälbo","1370","1387","1376","1387"
"Margaret I","House of Estridsen","1353","1412","1387","1412"
"Erik VII of Pomerania","House of Griffin","1381","1459","1412","1439"
"Christopher III of Bavaria","House of Wittelsbach, Palatinate-Neumarkt branch","1416","1448","1440","1448"
"Christian I","House of Oldenburg","1426","1481","1448","1481"
"John (Hans)","House of Oldenburg","1455","1513","1481","1513"
"Christian II","House of Oldenburg","1481","1559","1513","1523"
"Frederick I","House of Oldenburg","1471","1533","1523","1533"
"Christian III","House of Oldenburg","1503","1559","1534","1559"
"Frederick II","House of Oldenburg","1534","1588","1559","1588"
"Christian IV","House of Oldenburg","1577","1648","1588","1648"
"Frederick III","House of Oldenburg","1609","1670","1648","1670"
"Christian V","House of Oldenburg","1646","1699","1670","1699"
"Frederick IV","House of Oldenburg","1671","1730","1699","1730"
"Christian VI","House of Oldenburg","1699","1746","1730","1746"
"Frederick V","House of Oldenburg","1723","1766","1746","1766"
"Christian VII","House of Oldenburg","1749","1808","1766","1808"
"Frederick VI","House of Oldenburg","1768","1839","1808","1839"
"Christian VIII","House of Oldenburg","1786","1848","1839","1848"
"Frederick VII","House of Oldenburg","1808","1863","1848","1863"
"Christian IX","Schleswig-Holstein-Sonderburg-Glücksburg branch","1818","1906","1863","1906"
"Frederick VIII","Schleswig-Holstein-Sonderburg-Glücksburg branch","1843","1912","1906","1912"
"Christian X","Schleswig-Holstein-Sonderburg-Glücksburg branch","1870","1947","1912","1947"
"Frederick IX","Schleswig-Holstein-Sonderburg-Glücksburg branch","1899","1972","1947","1972"
"Margrethe II","Schleswig-Holstein-Sonderburg-Glücksburg branch","1940",,"1972","2024"
"Frederick X","Schleswig-Holstein-Sonderburg-Glücksburg branch","1968",,"2024",
