"monarch_name","monarch_id","monarch_house","house_id","date_birth","date_death","start_reign","end_reign"
"Gorm the Old","gorm_the_old","House of Gorm","house_of_gorm",,"958",,"958"
"Harald I","harald_i","House of Gorm","house_of_gorm","932","985","958","985"
"Sweyn I","sweyn_i","House of Gorm","house_of_gorm","963","1014","987","1014"
"Harald II","harald_ii","House of Gorm","house_of_gorm",,"1018","1014","1018"
"Canute II","canute_ii","House of Gorm","house_of_gorm","985","1035","1019","1035"
"Hardecanute","hardecanute","House of Gorm","house_of_gorm","1020","1042","1028","1042"
"Magnus I Olafsson","magnus_i_olafsson","House of Fairhair","house_of_fairhair","1024","1047","1042","1047"
"Sweyn II Estridsen","sweyn_ii_estridsen","House of Estridsen","house_of_estridsen","1019","1076","1047","1074"
"Harald III","harald_iii","House of Estridsen","house_of_estridsen","1040","1080","1074","1080"
"Canute IV","canute_iv","House of Estridsen","house_of_estridsen","1042","1086","1080","1086"
"Olaf I","olaf_i","House of Estridsen","house_of_estridsen","1050","1095","1086","1095"
"Erik I","erik_i","House of Estridsen","house_of_estridsen","1060","1103","1095","1103"
"Niels","niels","House of Estridsen","house_of_estridsen","1065","1134","1104","1134"
"Erik II","erik_ii","House of Estridsen","house_of_estridsen","1090","1137","1134","1137"
"Erik III","erik_iii","House of Estridsen","house_of_estridsen","1120","1146","1137","1146"
"Sweyn III","sweyn_iii","House of Estridsen","house_of_estridsen","1125","1157","1146","1157"
"Valdemar I","valdemar_i","House of Estridsen","house_of_estridsen","1131","1182","1157","1182"
"Canute VI","canute_vi","House of Estridsen","house_of_estridsen","1163","1202","1182","1202"
"Valdemar II","valdemar_ii","House of Estridsen","house_of_estridsen","1170","1241","1202","1241"
"Erik IV","erik_iv","House of Estridsen","house_of_estridsen","1216","1250","1241","1250"
"Abel","abel","House of Estridsen","house_of_estridsen","1218","1252","1250","1252"
"Christoper I","christoper_i","House of Estridsen","house_of_estridsen","1219","1259","1252","1259"
"Erik V","erik_v","House of Estridsen","house_of_estridsen","1249","1286","1259","1286"
"Erik VI","erik_vi","House of Estridsen","house_of_estridsen","1274","1319","1286","1319"
"Christoper II","christoper_ii","House of Estridsen","house_of_estridsen","1276","1332","1319","1332"
"Valdermar IV Atterdag","valdermar_iv_atterdag","House of Estridsen","house_of_estridsen","1320","1375","1340","1375"
"Olaf II","olaf_ii","House of Bjälbo","house_of_bjälbo","1370","1387","1376","1387"
"Margaret I","margaret_i","House of Estridsen","house_of_estridsen","1353","1412","1387","1412"
"Erik VII of Pomerania","erik_vii_of_pomerania","House of Griffin","house_of_griffin","1381","1459","1412","1439"
"Christopher III of Bavaria","christopher_iii_of_bavaria","House of Wittelsbach, Palatinate-Neumarkt branch","house_of_wittelsbach_palatinate-neumarkt_branch","1416","1448","1440","1448"
"Christian I","christian_i","House of Oldenburg","house_of_oldenburg","1426","1481","1448","1481"
"John (Hans)","john_(hans)","House of Oldenburg","house_of_oldenburg","1455","1513","1481","1513"
"Christian II","christian_ii","House of Oldenburg","house_of_oldenburg","1481","1559","1513","1523"
"Frederick I","frederick_i","House of Oldenburg","house_of_oldenburg","1471","1533","1523","1533"
"Christian III","christian_iii","House of Oldenburg","house_of_oldenburg","1503","1559","1534","1559"
"Frederick II","frederick_ii","House of Oldenburg","house_of_oldenburg","1534","1588","1559","1588"
"Christian IV","christian_iv","House of Oldenburg","house_of_oldenburg","1577","1648","1588","1648"
"Frederick III","frederick_iii","House of Oldenburg","house_of_oldenburg","1609","1670","1648","1670"
"Christian V","christian_v","House of Oldenburg","house_of_oldenburg","1646","1699","1670","1699"
"Frederick IV","frederick_iv","House of Oldenburg","house_of_oldenburg","1671","1730","1699","1730"
"Christian VI","christian_vi","House of Oldenburg","house_of_oldenburg","1699","1746","1730","1746"
"Frederick V","frederick_v","House of Oldenburg","house_of_oldenburg","1723","1766","1746","1766"
"Christian VII","christian_vii","House of Oldenburg","house_of_oldenburg","1749","1808","1766","1808"
"Frederick VI","frederick_vi","House of Oldenburg","house_of_oldenburg","1768","1839","1808","1839"
"Christian VIII","christian_viii","House of Oldenburg","house_of_oldenburg","1786","1848","1839","1848"
"Frederick VII","frederick_vii","House of Oldenburg","house_of_oldenburg","1808","1863","1848","1863"
"Christian IX","christian_ix","Schleswig-Holstein-Sonderburg-Glücksburg branch","schleswig-holstein-sonderburg-glücksburg_branch","1818","1906","1863","1906"
"Frederick VIII","frederick_viii","Schleswig-Holstein-Sonderburg-Glücksburg branch","schleswig-holstein-sonderburg-glücksburg_branch","1843","1912","1906","1912"
"Christian X","christian_x","Schleswig-Holstein-Sonderburg-Glücksburg branch","schleswig-holstein-sonderburg-glücksburg_branch","1870","1947","1912","1947"
"Frederick IX","frederick_ix","Schleswig-Holstein-Sonderburg-Glücksburg branch","schleswig-holstein-sonderburg-glücksburg_branch","1899","1972","1947","1972"
"Margrethe II","margrethe_ii","Schleswig-Holstein-Sonderburg-Glücksburg branch","schleswig-holstein-sonderburg-glücksburg_branch","1940",,"1972","2024"
"Frederick X","frederick_x","Schleswig-Holstein-Sonderburg-Glücksburg branch","schleswig-holstein-sonderburg-glücksburg_branch","1968",,"2024",
