"monarch_name","date_birth","date_death","start_reign","end_reign"
"Gorm the Old",,"958",,"958"
"Harald I","932","985","958","985"
"Sweyn I","963","1014","987","1014"
"Harald II",,"1018","1014","1018"
"Canute II","985","1035","1019","1035"
"Hardecanute","1020","1042","1028","1042"
"Magnus I Olafsson","1024","1047","1042","1047"
"Sweyn II Estridsen","1019","1076","1047","1074"
"Harald III","1040","1080","1074","1080"
"Canute IV","1042","1086","1080","1086"
"Olaf I","1050","1095","1086","1095"
"Erik I","1060","1103","1095","1103"
"Niels","1065","1134","1104","1134"
"Erik II","1090","1137","1134","1137"
"Erik III","1120","1146","1137","1146"
"Sweyn III","1125","1157","1146","1157"
"Valdemar I","1131","1182","1157","1182"
"Canute VI","1163","1202","1182","1202"
"Valdemar II","1170","1241","1202","1241"
"Erik IV","1216","1250","1241","1250"
"Abel","1218","1252","1250","1252"
"Christoper I","1219","1259","1252","1259"
"Erik V","1249","1286","1259","1286"
"Erik VI","1274","1319","1286","1319"
"Christoper II","1276","1332","1319","1332"
"Valdermar IV Atterdag","1320","1375","1340","1375"
"Olaf II","1370","1387","1376","1387"
"Margaret I","1353","1412","1387","1412"
"Erik VII of Pomerania","1381","1459","1412","1439"
"Christopher III of Bavaria","1416","1448","1440","1448"
"Christian I","1426","1481","1448","1481"
"John (Hans)","1455","1513","1481","1513"
"Christian II","1481","1559","1513","1523"
"Frederick I","1471","1533","1523","1533"
"Christian III","1503","1559","1534","1559"
"Frederick II","1534","1588","1559","1588"
"Christian IV","1577","1648","1588","1648"
"Frederick III","1609","1670","1648","1670"
"Christian V","1646","1699","1670","1699"
"Frederick IV","1671","1730","1699","1730"
"Christian VI","1699","1746","1730","1746"
"Frederick V","1723","1766","1746","1766"
"Christian VII","1749","1808","1766","1808"
"Frederick VI","1768","1839","1808","1839"
"Christian VIII","1786","1848","1839","1848"
"Frederick VII","1808","1863","1848","1863"
"Christian IX","1818","1906","1863","1906"
"Frederick VIII","1843","1912","1906","1912"
"Christian X","1870","1947","1912","1947"
"Frederick IX","1899","1972","1947","1972"
"Margrethe II","1940",,"1972","2024"
"Frederick X","1968",,"2024",
